ROW,STRATA_ID,SLOPE_CAT,LU_CAT,SLOPE_RANGE,ENV_RANGE,LU_RANGE,clc_level3,clc_level2,clc_level1,LEVEL_LU,ENV_CAT_CODE,ENV_CAT,LULUCF_CODE,LULUCF_DESCRIPTION,LULUCF_CODE_L2,LULUCF_DESCRIPTION_L2
38,16,FLAT,Wetlands,"[0, 15]",1,422,Salines,Coastal wetlands,Wetlands,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
39,16,FLAT,Wetlands,"[0, 15]",1,423,Intertidal flats,Coastal wetlands,Wetlands,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
40,16,FLAT,Wetlands,"[0, 15]",1,511,Water courses,Inland waters,Water bodies,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
41,16,FLAT,Wetlands,"[0, 15]",1,512,Water bodies,Inland waters,Water bodies,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
42,16,FLAT,Wetlands,"[0, 15]",1,521,Coastal lagoons,Coastal waters,Water bodies,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
43,16,FLAT,Wetlands,"[0, 15]",1,522,Estuaries,Coastal waters,Water bodies,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
44,16,FLAT,Wetlands,"[0, 15]",1,523,Sea and Ocean,Coastal waters,Water bodies,SOC_classif,ALN,Alpine_north,WL,Wetlands,WL,Wetlands
45,17,FLAT,Artificial_surfaces,"[0, 15]",2,111,Continuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
46,17,FLAT,Artificial_surfaces,"[0, 15]",2,112,Discontinuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
47,17,FLAT,Artificial_surfaces,"[0, 15]",2,121,Industrial or commercial units,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
48,17,FLAT,Artificial_surfaces,"[0, 15]",2,122,Road and rail networks and associated land,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
49,17,FLAT,Artificial_surfaces,"[0, 15]",2,123,Port areas,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
50,17,FLAT,Artificial_surfaces,"[0, 15]",2,124,Airports,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
51,17,FLAT,Artificial_surfaces,"[0, 15]",2,131,Mineral extraction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
52,17,FLAT,Artificial_surfaces,"[0, 15]",2,132,Dump sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
53,17,FLAT,Artificial_surfaces,"[0, 15]",2,133,Construction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
54,17,FLAT,Artificial_surfaces,"[0, 15]",2,141,Green urban areas,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
55,17,FLAT,Artificial_surfaces,"[0, 15]",2,142,Sport and leisure facilities,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,BOR,Boreal,SL,Settlements,SL,Settlements
56,17,FLAT,Artificial_surfaces,"[0, 15]",5,111,Continuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
57,17,FLAT,Artificial_surfaces,"[0, 15]",5,112,Discontinuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
58,17,FLAT,Artificial_surfaces,"[0, 15]",5,121,Industrial or commercial units,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
59,17,FLAT,Artificial_surfaces,"[0, 15]",5,122,Road and rail networks and associated land,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
60,17,FLAT,Artificial_surfaces,"[0, 15]",5,123,Port areas,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
61,17,FLAT,Artificial_surfaces,"[0, 15]",5,124,Airports,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
62,17,FLAT,Artificial_surfaces,"[0, 15]",5,131,Mineral extraction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
63,17,FLAT,Artificial_surfaces,"[0, 15]",5,132,Dump sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
64,17,FLAT,Artificial_surfaces,"[0, 15]",5,133,Construction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
65,17,FLAT,Artificial_surfaces,"[0, 15]",5,141,Green urban areas,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
66,17,FLAT,Artificial_surfaces,"[0, 15]",5,142,Sport and leisure facilities,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,ALS,Atlantic_south,SL,Settlements,SL,Settlements
67,18,FLAT,Non_irrigated_arable_land,"[0, 15]",2,211,Non-irrigated arable land,Arable land,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,ACL,Arable cropland
68,18,FLAT,Non_irrigated_arable_land,"[0, 15]",5,211,Non-irrigated arable land,Arable land,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,ACL,Arable cropland
69,19,FLAT,Permanently_irrigated_arable_land,"[0, 15]",2,212,Permanently irrigated land,Arable land,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,ACL,Arable cropland
70,19,FLAT,Permanently_irrigated_arable_land,"[0, 15]",5,212,Permanently irrigated land,Arable land,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,ACL,Arable cropland
71,20,FLAT,Rice_fields,"[0, 15]",2,213,Rice fields,Arable land,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,ACL,Arable cropland
72,20,FLAT,Rice_fields,"[0, 15]",5,213,Rice fields,Arable land,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,ACL,Arable cropland
73,21,FLAT,Permanent_crops,"[0, 15]",2,221,Vineyards,Permanent crops,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,PCL,Permanent cropland
74,21,FLAT,Permanent_crops,"[0, 15]",2,222,Fruit trees and berry plantations,Permanent crops,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,PCL,Permanent cropland
75,21,FLAT,Permanent_crops,"[0, 15]",2,223,Olive groves,Permanent crops,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,PCL,Permanent cropland
76,21,FLAT,Permanent_crops,"[0, 15]",5,221,Vineyards,Permanent crops,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,PCL,Permanent cropland
77,21,FLAT,Permanent_crops,"[0, 15]",5,222,Fruit trees and berry plantations,Permanent crops,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,PCL,Permanent cropland
78,21,FLAT,Permanent_crops,"[0, 15]",5,223,Olive groves,Permanent crops,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,PCL,Permanent cropland
79,22,FLAT,Pasture,"[0, 15]",2,231,Pastures,Pastures,Agricultural areas,SOC_classif,BOR,Boreal,GL,Grassland,GL,Grassland
80,22,FLAT,Pasture,"[0, 15]",5,231,Pastures,Pastures,Agricultural areas,SOC_classif,ALS,Atlantic_south,GL,Grassland,GL,Grassland
81,23,FLAT,Heterogeneous_agro,"[0, 15]",2,241,Annual crops associated with permanent crops,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,ACL,Arable cropland
82,23,FLAT,Heterogeneous_agro,"[0, 15]",2,242,Complex cultivation patterns,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,ACL,Arable cropland
83,23,FLAT,Heterogeneous_agro,"[0, 15]",2,243,Agriculture mosaics with significant natural vegetation,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,ACL,Arable cropland
84,23,FLAT,Heterogeneous_agro,"[0, 15]",2,244,Agro-forestry areas,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,BOR,Boreal,CL,Cropland,AFCL,Agroforestry cropland
85,23,FLAT,Heterogeneous_agro,"[0, 15]",5,241,Annual crops associated with permanent crops,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,ACL,Arable cropland
86,23,FLAT,Heterogeneous_agro,"[0, 15]",5,242,Complex cultivation patterns,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,ACL,Arable cropland
87,23,FLAT,Heterogeneous_agro,"[0, 15]",5,243,Agriculture mosaics with significant natural vegetation,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,ACL,Arable cropland
88,23,FLAT,Heterogeneous_agro,"[0, 15]",5,244,Agro-forestry areas,Heterogeneous agricultural areas,Agricultural areas,SOC_classif,ALS,Atlantic_south,CL,Cropland,AFCL,Agroforestry cropland
89,24,FLAT,Broadleaved_forest,"[0, 15]",2,311,Broad-leaved forest,Forests,Forest and semi natural areas,SOC_classif,BOR,Boreal,FL,Forest land,FL,Forest land
90,24,FLAT,Broadleaved_forest,"[0, 15]",5,311,Broad-leaved forest,Forests,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,FL,Forest land,FL,Forest land
91,25,FLAT,Coniferous_forest,"[0, 15]",2,312,Coniferous forest,Forests,Forest and semi natural areas,SOC_classif,BOR,Boreal,FL,Forest land,FL,Forest land
92,25,FLAT,Coniferous_forest,"[0, 15]",5,312,Coniferous forest,Forests,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,FL,Forest land,FL,Forest land
93,26,FLAT,Mixed_forest,"[0, 15]",2,313,Mixed forest,Forests,Forest and semi natural areas,SOC_classif,BOR,Boreal,FL,Forest land,FL,Forest land
94,26,FLAT,Mixed_forest,"[0, 15]",5,313,Mixed forest,Forests,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,FL,Forest land,FL,Forest land
95,27,FLAT,Natural_grassland,"[0, 15]",2,321,Natural grasslands,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,BOR,Boreal,GL,Grassland,GL,Grassland
96,27,FLAT,Natural_grassland,"[0, 15]",5,321,Natural grasslands,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,GL,Grassland,GL,Grassland
97,28,FLAT,Moors_heathland,"[0, 15]",2,322,Moors and heathland,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,BOR,Boreal,GL,Grassland,GL,Grassland
98,28,FLAT,Moors_heathland,"[0, 15]",5,322,Moors and heathland,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,GL,Grassland,GL,Grassland
99,29,FLAT,Sclerophyllous_veg,"[0, 15]",2,323,Sclerophyllous vegetation,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,BOR,Boreal,GL,Grassland,GL,Grassland
100,29,FLAT,Sclerophyllous_veg,"[0, 15]",5,323,Sclerophyllous vegetation,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,GL,Grassland,GL,Grassland
101,30,FLAT,Transitional_woodland_shrub,"[0, 15]",2,324,Transitional woodland-shrub,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,BOR,Boreal,FL,Forest land,FL,Forest land
102,30,FLAT,Transitional_woodland_shrub,"[0, 15]",5,324,Transitional woodland-shrub,Scrub and/or herbaceous vegetation associations,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,FL,Forest land,FL,Forest land
103,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",2,331,"Beaches, dunes and sand plains",Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,BOR,Boreal,OL,Other land,OL,Other land
104,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",2,332,Bare rocks,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,BOR,Boreal,OL,Other land,OL,Other land
105,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",2,333,Sparsely vegetated areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,BOR,Boreal,OL,Other land,OL,Other land
106,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",2,334,Burnt areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,BOR,Boreal,FL,Forest land,FL,Forest land
107,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",2,335,Glaciers and perpetual snow,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,BOR,Boreal,OL,Other land,OL,Other land
108,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",5,331,"Beaches, dunes and sand plains",Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,OL,Other land,OL,Other land
109,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",5,332,Bare rocks,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,OL,Other land,OL,Other land
110,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",5,333,Sparsely vegetated areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,OL,Other land,OL,Other land
111,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",5,334,Burnt areas,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,FL,Forest land,FL,Forest land
112,31,FLAT,Open_spaces_little_no_veg,"[0, 15]",5,335,Glaciers and perpetual snow,Open spaces with little or no vegetation,Forest and semi natural areas,SOC_classif,ALS,Atlantic_south,OL,Other land,OL,Other land
113,32,FLAT,Wetlands,"[0, 15]",2,411,Inland marshes,Inland wetlands,Wetlands,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
114,32,FLAT,Wetlands,"[0, 15]",2,412,Peat bogs,Inland wetlands,Wetlands,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
115,32,FLAT,Wetlands,"[0, 15]",2,421,Salt marshes,Coastal wetlands,Wetlands,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
116,32,FLAT,Wetlands,"[0, 15]",2,422,Salines,Coastal wetlands,Wetlands,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
117,32,FLAT,Wetlands,"[0, 15]",2,423,Intertidal flats,Coastal wetlands,Wetlands,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
118,32,FLAT,Wetlands,"[0, 15]",2,511,Water courses,Inland waters,Water bodies,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
119,32,FLAT,Wetlands,"[0, 15]",2,512,Water bodies,Inland waters,Water bodies,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
120,32,FLAT,Wetlands,"[0, 15]",2,521,Coastal lagoons,Coastal waters,Water bodies,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
121,32,FLAT,Wetlands,"[0, 15]",2,522,Estuaries,Coastal waters,Water bodies,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
122,32,FLAT,Wetlands,"[0, 15]",2,523,Sea and Ocean,Coastal waters,Water bodies,SOC_classif,BOR,Boreal,WL,Wetlands,WL,Wetlands
123,32,FLAT,Wetlands,"[0, 15]",5,411,Inland marshes,Inland wetlands,Wetlands,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
124,32,FLAT,Wetlands,"[0, 15]",5,412,Peat bogs,Inland wetlands,Wetlands,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
125,32,FLAT,Wetlands,"[0, 15]",5,421,Salt marshes,Coastal wetlands,Wetlands,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
126,32,FLAT,Wetlands,"[0, 15]",5,422,Salines,Coastal wetlands,Wetlands,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
127,32,FLAT,Wetlands,"[0, 15]",5,423,Intertidal flats,Coastal wetlands,Wetlands,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
128,32,FLAT,Wetlands,"[0, 15]",5,511,Water courses,Inland waters,Water bodies,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
129,32,FLAT,Wetlands,"[0, 15]",5,512,Water bodies,Inland waters,Water bodies,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
130,32,FLAT,Wetlands,"[0, 15]",5,521,Coastal lagoons,Coastal waters,Water bodies,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
131,32,FLAT,Wetlands,"[0, 15]",5,522,Estuaries,Coastal waters,Water bodies,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
132,32,FLAT,Wetlands,"[0, 15]",5,523,Sea and Ocean,Coastal waters,Water bodies,SOC_classif,ALS,Atlantic_south,WL,Wetlands,WL,Wetlands
133,33,FLAT,Artificial_surfaces,"[0, 15]",3,111,Continuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
134,33,FLAT,Artificial_surfaces,"[0, 15]",3,112,Discontinuous urban fabric,Urban fabric,Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
135,33,FLAT,Artificial_surfaces,"[0, 15]",3,121,Industrial or commercial units,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
136,33,FLAT,Artificial_surfaces,"[0, 15]",3,122,Road and rail networks and associated land,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
137,33,FLAT,Artificial_surfaces,"[0, 15]",3,123,Port areas,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
138,33,FLAT,Artificial_surfaces,"[0, 15]",3,124,Airports,"Industrial, commercial and transport units",Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
139,33,FLAT,Artificial_surfaces,"[0, 15]",3,131,Mineral extraction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
140,33,FLAT,Artificial_surfaces,"[0, 15]",3,132,Dump sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
141,33,FLAT,Artificial_surfaces,"[0, 15]",3,133,Construction sites,"Mines, dump and construction sites",Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
142,33,FLAT,Artificial_surfaces,"[0, 15]",3,141,Green urban areas,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
143,33,FLAT,Artificial_surfaces,"[0, 15]",3,142,Sport and leisure facilities,"Artificial, non-agricultural vegetated areas",Artificial surfaces,SOC_classif,NEM,Nemoral,SL,Settlements,SL,Settlements
144,34,FLAT,Non_irrigated_arable_land,"[0, 15]",3,211,Non-irrigated arable land,Arable land,Agricultural areas,SOC_classif,NEM,Nemoral,CL,Cropland,ACL,Arable cropland
145,35,FLAT,Permanently_irrigated_arable_land,"[0, 15]",3,212,Permanently irrigated land,Arable land,Agricultural areas,SOC_classif,NEM,Nemoral,CL,Cropland,ACL,Arable cropland
146,36,FLAT,Rice_fields,"[0, 15]",3,213,Rice fields,Arable land,Agricultural areas,SOC_classif,NEM,Nemoral,CL,Cropland,ACL,Arable cropland
